reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-04-14,2025-04-20,16,鼻病毒,9.1,8.8
2025-04-14,2025-04-20,16,博卡病毒,0.4,0.7
2025-04-14,2025-04-20,16,肠道病毒,2.0,1.5
2025-04-14,2025-04-20,16,肺炎支原体,0.5,1.9
2025-04-14,2025-04-20,16,副流感病毒,4.4,3.6
2025-04-14,2025-04-20,16,呼吸道合胞病毒,3.8,5.6
2025-04-14,2025-04-20,16,流感病毒,2.5,1.6
2025-04-14,2025-04-20,16,普通冠状病毒,1.5,1.2
2025-04-14,2025-04-20,16,人偏肺病毒,3.4,3.4
2025-04-14,2025-04-20,16,腺病毒,2.2,2.1
2025-04-14,2025-04-20,16,新型冠状病毒,11.1,3.7
