reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-04-27,2026-05-03,18,鼻病毒,9.9,7.5
2026-04-27,2026-05-03,18,博卡病毒,0.6,0.5
2026-04-27,2026-05-03,18,肠道病毒,2.2,1.0
2026-04-27,2026-05-03,18,肺炎支原体,0.1,0.4
2026-04-27,2026-05-03,18,副流感病毒,7.9,4.8
2026-04-27,2026-05-03,18,呼吸道合胞病毒,1.7,3.4
2026-04-27,2026-05-03,18,流感病毒,13.3,4.9
2026-04-27,2026-05-03,18,普通冠状病毒,2.5,1.6
2026-04-27,2026-05-03,18,人偏肺病毒,4.9,3.8
2026-04-27,2026-05-03,18,腺病毒,1.7,0.8
2026-04-27,2026-05-03,18,新型冠状病毒,1.5,0.6
