reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-05-18,2026-05-24,21,鼻病毒,10.6,9.6
2026-05-18,2026-05-24,21,博卡病毒,0.6,0.9
2026-05-18,2026-05-24,21,肠道病毒,4.5,1.6
2026-05-18,2026-05-24,21,肺炎支原体,0.1,1.1
2026-05-18,2026-05-24,21,副流感病毒,6.7,5.5
2026-05-18,2026-05-24,21,呼吸道合胞病毒,1.1,2.1
2026-05-18,2026-05-24,21,流感病毒,11.8,4.5
2026-05-18,2026-05-24,21,普通冠状病毒,2.2,1.6
2026-05-18,2026-05-24,21,人偏肺病毒,4.5,3.9
2026-05-18,2026-05-24,21,腺病毒,1.7,1.6
2026-05-18,2026-05-24,21,新型冠状病毒,1.5,0.9
