reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-10-27,2025-11-02,44,鼻病毒,12.4,10.6
2025-10-27,2025-11-02,44,博卡病毒,1.4,2.7
2025-10-27,2025-11-02,44,肠道病毒,6.7,2.7
2025-10-27,2025-11-02,44,肺炎支原体,0.4,1.2
2025-10-27,2025-11-02,44,副流感病毒,3.0,2.3
2025-10-27,2025-11-02,44,呼吸道合胞病毒,6.6,8.5
2025-10-27,2025-11-02,44,流感病毒,17.5,4.2
2025-10-27,2025-11-02,44,普通冠状病毒,1.9,1.6
2025-10-27,2025-11-02,44,人偏肺病毒,0.1,0.2
2025-10-27,2025-11-02,44,腺病毒,1.3,1.4
2025-10-27,2025-11-02,44,新型冠状病毒,1.4,1.0
