reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-03-30,2026-04-05,14,鼻病毒,10.0,8.5
2026-03-30,2026-04-05,14,博卡病毒,0.3,0.3
2026-03-30,2026-04-05,14,肠道病毒,0.9,1.0
2026-03-30,2026-04-05,14,肺炎支原体,0.2,0.5
2026-03-30,2026-04-05,14,副流感病毒,6.5,6.4
2026-03-30,2026-04-05,14,呼吸道合胞病毒,4.0,5.5
2026-03-30,2026-04-05,14,流感病毒,16.3,5.0
2026-03-30,2026-04-05,14,普通冠状病毒,3.1,2.3
2026-03-30,2026-04-05,14,人偏肺病毒,2.2,1.2
2026-03-30,2026-04-05,14,腺病毒,1.5,1.1
2026-03-30,2026-04-05,14,新型冠状病毒,2.0,0.9
