reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-04-13,2026-04-19,16,鼻病毒,9.3,7.3
2026-04-13,2026-04-19,16,博卡病毒,0.4,0.8
2026-04-13,2026-04-19,16,肠道病毒,1.5,1.1
2026-04-13,2026-04-19,16,肺炎支原体,0.2,0.9
2026-04-13,2026-04-19,16,副流感病毒,6.7,5.1
2026-04-13,2026-04-19,16,呼吸道合胞病毒,2.6,4.2
2026-04-13,2026-04-19,16,流感病毒,13.4,4.9
2026-04-13,2026-04-19,16,普通冠状病毒,2.8,1.8
2026-04-13,2026-04-19,16,人偏肺病毒,2.0,2.6
2026-04-13,2026-04-19,16,腺病毒,1.9,1.2
2026-04-13,2026-04-19,16,新型冠状病毒,1.3,0.8
