reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-11-03,2025-11-09,45,鼻病毒,10.7,10.0
2025-11-03,2025-11-09,45,博卡病毒,1.4,2.0
2025-11-03,2025-11-09,45,肠道病毒,5.1,3.2
2025-11-03,2025-11-09,45,肺炎支原体,0.5,1.3
2025-11-03,2025-11-09,45,副流感病毒,2.2,2.8
2025-11-03,2025-11-09,45,呼吸道合胞病毒,6.1,8.0
2025-11-03,2025-11-09,45,流感病毒,29.8,9.8
2025-11-03,2025-11-09,45,普通冠状病毒,1.3,1.1
2025-11-03,2025-11-09,45,人偏肺病毒,0.4,0.5
2025-11-03,2025-11-09,45,腺病毒,1.4,1.2
2025-11-03,2025-11-09,45,新型冠状病毒,1.1,0.7
