reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-06-08,2026-06-14,24,鼻病毒,11.9,9.4
2026-06-08,2026-06-14,24,博卡病毒,0.8,1.3
2026-06-08,2026-06-14,24,肠道病毒,7.7,3.9
2026-06-08,2026-06-14,24,肺炎支原体,0.3,1.3
2026-06-08,2026-06-14,24,副流感病毒,6.9,4.5
2026-06-08,2026-06-14,24,呼吸道合胞病毒,1.0,1.5
2026-06-08,2026-06-14,24,流感病毒,9.9,2.9
2026-06-08,2026-06-14,24,普通冠状病毒,1.3,1.1
2026-06-08,2026-06-14,24,人偏肺病毒,5.7,5.7
2026-06-08,2026-06-14,24,腺病毒,2.1,1.6
2026-06-08,2026-06-14,24,新型冠状病毒,5.1,1.5
