reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-08-03,2026-08-09,32,鼻病毒,3.6,4.0
2026-08-03,2026-08-09,32,博卡病毒,1.3,1.5
2026-08-03,2026-08-09,32,肠道病毒,3.9,2.1
2026-08-03,2026-08-09,32,肺炎支原体,0.4,2.2
2026-08-03,2026-08-09,32,副流感病毒,2.6,2.8
2026-08-03,2026-08-09,32,呼吸道合胞病毒,1.0,1.5
2026-08-03,2026-08-09,32,流感病毒,14.3,6.0
2026-08-03,2026-08-09,32,普通冠状病毒,0.4,0.3
2026-08-03,2026-08-09,32,人偏肺病毒,3.0,4.0
2026-08-03,2026-08-09,32,腺病毒,1.6,1.5
2026-08-03,2026-08-09,32,新型冠状病毒,21.1,8.6
