reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-07-07,2025-07-13,28,鼻病毒,5.9,5.2
2025-07-07,2025-07-13,28,博卡病毒,1.4,1.5
2025-07-07,2025-07-13,28,肠道病毒,9.1,3.7
2025-07-07,2025-07-13,28,肺炎支原体,0.2,1.4
2025-07-07,2025-07-13,28,副流感病毒,6.4,4.3
2025-07-07,2025-07-13,28,呼吸道合胞病毒,3.3,6.5
2025-07-07,2025-07-13,28,流感病毒,1.8,0.8
2025-07-07,2025-07-13,28,普通冠状病毒,1.7,0.9
2025-07-07,2025-07-13,28,人偏肺病毒,0.5,0.1
2025-07-07,2025-07-13,28,腺病毒,3.1,2.1
2025-07-07,2025-07-13,28,新型冠状病毒,13.4,6.8
