reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-09-15,2025-09-21,38,鼻病毒,10.9,6.1
2025-09-15,2025-09-21,38,博卡病毒,1.2,1.9
2025-09-15,2025-09-21,38,肠道病毒,4.0,2.1
2025-09-15,2025-09-21,38,肺炎支原体,0.3,0.4
2025-09-15,2025-09-21,38,副流感病毒,2.4,1.8
2025-09-15,2025-09-21,38,呼吸道合胞病毒,5.9,8.5
2025-09-15,2025-09-21,38,流感病毒,3.5,1.1
2025-09-15,2025-09-21,38,普通冠状病毒,9.9,4.0
2025-09-15,2025-09-21,38,人偏肺病毒,0.4,0.9
2025-09-15,2025-09-21,38,腺病毒,1.4,0.7
2025-09-15,2025-09-21,38,新型冠状病毒,5.3,2.8
