reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2024-11-25,2024-12-01,48,鼻病毒,9.7,7.0
2024-11-25,2024-12-01,48,博卡病毒,0.9,1.2
2024-11-25,2024-12-01,48,肠道病毒,4.5,1.7
2024-11-25,2024-12-01,48,肺炎支原体,5.7,10.5
2024-11-25,2024-12-01,48,副流感病毒,2.9,2.0
2024-11-25,2024-12-01,48,呼吸道合胞病毒,2.2,2.4
2024-11-25,2024-12-01,48,流感病毒,7.0,3.5
2024-11-25,2024-12-01,48,普通冠状病毒,1.7,1.8
2024-11-25,2024-12-01,48,人偏肺病毒,4.8,2.4
2024-11-25,2024-12-01,48,腺病毒,5.7,3.3
2024-11-25,2024-12-01,48,新型冠状病毒,1.9,1.8
