reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-04-20,2026-04-26,17,鼻病毒,9.9,6.9
2026-04-20,2026-04-26,17,博卡病毒,0.2,0.6
2026-04-20,2026-04-26,17,肠道病毒,2.0,1.3
2026-04-20,2026-04-26,17,肺炎支原体,0.2,1.1
2026-04-20,2026-04-26,17,副流感病毒,7.3,5.2
2026-04-20,2026-04-26,17,呼吸道合胞病毒,2.3,3.6
2026-04-20,2026-04-26,17,流感病毒,14.8,5.3
2026-04-20,2026-04-26,17,普通冠状病毒,2.3,1.8
2026-04-20,2026-04-26,17,人偏肺病毒,3.7,3.4
2026-04-20,2026-04-26,17,腺病毒,1.6,0.8
2026-04-20,2026-04-26,17,新型冠状病毒,1.3,0.7
