reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-05-11,2026-05-17,20,鼻病毒,9.9,8.2
2026-05-11,2026-05-17,20,博卡病毒,0.6,0.8
2026-05-11,2026-05-17,20,肠道病毒,2.8,1.7
2026-05-11,2026-05-17,20,肺炎支原体,0.2,0.9
2026-05-11,2026-05-17,20,副流感病毒,6.4,4.6
2026-05-11,2026-05-17,20,呼吸道合胞病毒,1.2,1.9
2026-05-11,2026-05-17,20,流感病毒,11.9,4.0
2026-05-11,2026-05-17,20,普通冠状病毒,2.3,1.6
2026-05-11,2026-05-17,20,人偏肺病毒,3.1,4.3
2026-05-11,2026-05-17,20,腺病毒,2.2,1.7
2026-05-11,2026-05-17,20,新型冠状病毒,1.7,0.7
