reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-06-23,2025-06-29,26,鼻病毒,7.9,7.2
2025-06-23,2025-06-29,26,博卡病毒,1.5,1.5
2025-06-23,2025-06-29,26,肠道病毒,8.1,3.3
2025-06-23,2025-06-29,26,肺炎支原体,0.2,1.6
2025-06-23,2025-06-29,26,副流感病毒,5.2,3.9
2025-06-23,2025-06-29,26,呼吸道合胞病毒,3.0,5.0
2025-06-23,2025-06-29,26,流感病毒,1.6,0.8
2025-06-23,2025-06-29,26,普通冠状病毒,0.9,1.0
2025-06-23,2025-06-29,26,人偏肺病毒,0.7,0.4
2025-06-23,2025-06-29,26,腺病毒,2.0,1.8
2025-06-23,2025-06-29,26,新型冠状病毒,14.0,6.9
