reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-06-09,2025-06-15,24,鼻病毒,8.5,7.0
2025-06-09,2025-06-15,24,博卡病毒,0.9,1.1
2025-06-09,2025-06-15,24,肠道病毒,6.2,3.4
2025-06-09,2025-06-15,24,肺炎支原体,0.3,1.3
2025-06-09,2025-06-15,24,副流感病毒,4.6,3.8
2025-06-09,2025-06-15,24,呼吸道合胞病毒,2.1,4.1
2025-06-09,2025-06-15,24,流感病毒,1.6,0.8
2025-06-09,2025-06-15,24,普通冠状病毒,1.4,0.6
2025-06-09,2025-06-15,24,人偏肺病毒,0.4,0.1
2025-06-09,2025-06-15,24,腺病毒,2.9,2.2
2025-06-09,2025-06-15,24,新型冠状病毒,17.1,9.2
