reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-08-25,2025-08-31,35,鼻病毒,4.3,3.4
2025-08-25,2025-08-31,35,博卡病毒,1.2,1.7
2025-08-25,2025-08-31,35,肠道病毒,3.2,0.8
2025-08-25,2025-08-31,35,肺炎支原体,0.4,1.3
2025-08-25,2025-08-31,35,副流感病毒,2.3,1.3
2025-08-25,2025-08-31,35,呼吸道合胞病毒,3.7,7.5
2025-08-25,2025-08-31,35,流感病毒,2.4,0.6
2025-08-25,2025-08-31,35,普通冠状病毒,10.7,4.5
2025-08-25,2025-08-31,35,人偏肺病毒,0.2,0.1
2025-08-25,2025-08-31,35,腺病毒,2.0,1.2
2025-08-25,2025-08-31,35,新型冠状病毒,8.5,4.3
