reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-05-05,2025-05-11,19,鼻病毒,9.5,8.6
2025-05-05,2025-05-11,19,博卡病毒,0.7,0.7
2025-05-05,2025-05-11,19,肠道病毒,3.2,0.9
2025-05-05,2025-05-11,19,肺炎支原体,0.3,2.1
2025-05-05,2025-05-11,19,副流感病毒,3.3,3.9
2025-05-05,2025-05-11,19,呼吸道合胞病毒,3.1,4.5
2025-05-05,2025-05-11,19,流感病毒,2.2,1.4
2025-05-05,2025-05-11,19,普通冠状病毒,1.9,1.1
2025-05-05,2025-05-11,19,人偏肺病毒,1.6,1.4
2025-05-05,2025-05-11,19,腺病毒,2.6,2.8
2025-05-05,2025-05-11,19,新型冠状病毒,19.4,7.1
