reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-03-24,2025-03-30,13,鼻病毒,8.9,5.6
2025-03-24,2025-03-30,13,博卡病毒,0.4,0.3
2025-03-24,2025-03-30,13,肠道病毒,1.1,1.2
2025-03-24,2025-03-30,13,肺炎支原体,0.6,2.3
2025-03-24,2025-03-30,13,副流感病毒,4.1,2.7
2025-03-24,2025-03-30,13,呼吸道合胞病毒,5.3,7.7
2025-03-24,2025-03-30,13,流感病毒,3.5,2.6
2025-03-24,2025-03-30,13,普通冠状病毒,3.0,2.0
2025-03-24,2025-03-30,13,人偏肺病毒,5.6,4.6
2025-03-24,2025-03-30,13,腺病毒,1.7,1.4
2025-03-24,2025-03-30,13,新型冠状病毒,7.2,2.3
