reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-09-29,2025-10-05,40,鼻病毒,14.7,10.1
2025-09-29,2025-10-05,40,博卡病毒,1.1,2.0
2025-09-29,2025-10-05,40,肠道病毒,5.2,2.6
2025-09-29,2025-10-05,40,肺炎支原体,0.3,0.9
2025-09-29,2025-10-05,40,副流感病毒,3.2,2.6
2025-09-29,2025-10-05,40,呼吸道合胞病毒,5.7,8.5
2025-09-29,2025-10-05,40,流感病毒,3.0,1.2
2025-09-29,2025-10-05,40,普通冠状病毒,4.0,2.4
2025-09-29,2025-10-05,40,人偏肺病毒,0.3,0.4
2025-09-29,2025-10-05,40,腺病毒,1.2,0.9
2025-09-29,2025-10-05,40,新型冠状病毒,3.2,2.1
