reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-03-31,2025-04-06,14,鼻病毒,8.9,6.9
2025-03-31,2025-04-06,14,博卡病毒,0.3,0.3
2025-03-31,2025-04-06,14,肠道病毒,1.1,1.5
2025-03-31,2025-04-06,14,肺炎支原体,0.6,1.8
2025-03-31,2025-04-06,14,副流感病毒,3.6,2.6
2025-03-31,2025-04-06,14,呼吸道合胞病毒,3.8,5.7
2025-03-31,2025-04-06,14,流感病毒,4.2,2.7
2025-03-31,2025-04-06,14,普通冠状病毒,3.1,3.0
2025-03-31,2025-04-06,14,人偏肺病毒,5.0,3.9
2025-03-31,2025-04-06,14,腺病毒,1.8,1.8
2025-03-31,2025-04-06,14,新型冠状病毒,7.5,3.3
