reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-06-29,2026-07-05,27,鼻病毒,8.1,7.1
2026-06-29,2026-07-05,27,博卡病毒,1.1,2.0
2026-06-29,2026-07-05,27,肠道病毒,9.1,3.8
2026-06-29,2026-07-05,27,肺炎支原体,0.3,1.9
2026-06-29,2026-07-05,27,副流感病毒,4.6,4.4
2026-06-29,2026-07-05,27,呼吸道合胞病毒,0.8,1.4
2026-06-29,2026-07-05,27,流感病毒,11.6,4.5
2026-06-29,2026-07-05,27,普通冠状病毒,0.6,0.8
2026-06-29,2026-07-05,27,人偏肺病毒,4.9,5.4
2026-06-29,2026-07-05,27,腺病毒,1.0,0.8
2026-06-29,2026-07-05,27,新型冠状病毒,9.6,4.3
