reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-04-07,2025-04-13,15,鼻病毒,9.5,6.9
2025-04-07,2025-04-13,15,博卡病毒,0.3,0.2
2025-04-07,2025-04-13,15,肠道病毒,1.6,1.0
2025-04-07,2025-04-13,15,肺炎支原体,0.4,2.2
2025-04-07,2025-04-13,15,副流感病毒,3.5,2.7
2025-04-07,2025-04-13,15,呼吸道合胞病毒,3.8,5.9
2025-04-07,2025-04-13,15,流感病毒,2.8,2.0
2025-04-07,2025-04-13,15,普通冠状病毒,2.0,1.4
2025-04-07,2025-04-13,15,人偏肺病毒,4.0,4.3
2025-04-07,2025-04-13,15,腺病毒,2.0,1.2
2025-04-07,2025-04-13,15,新型冠状病毒,8.8,3.3
