reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-08-17,2026-08-23,34,鼻病毒,3.3,3.1
2026-08-17,2026-08-23,34,博卡病毒,1.7,1.9
2026-08-17,2026-08-23,34,肠道病毒,2.4,2.0
2026-08-17,2026-08-23,34,肺炎支原体,0.3,2.1
2026-08-17,2026-08-23,34,副流感病毒,1.9,1.8
2026-08-17,2026-08-23,34,呼吸道合胞病毒,1.3,2.4
2026-08-17,2026-08-23,34,流感病毒,16.2,6.0
2026-08-17,2026-08-23,34,普通冠状病毒,0.3,0.2
2026-08-17,2026-08-23,34,人偏肺病毒,2.7,3.3
2026-08-17,2026-08-23,34,腺病毒,1.0,0.9
2026-08-17,2026-08-23,34,新型冠状病毒,19.5,7.3
