reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-08-10,2026-08-16,33,鼻病毒,3.1,3.4
2026-08-10,2026-08-16,33,博卡病毒,1.4,2.5
2026-08-10,2026-08-16,33,肠道病毒,3.0,2.1
2026-08-10,2026-08-16,33,肺炎支原体,0.2,1.4
2026-08-10,2026-08-16,33,副流感病毒,2.3,2.3
2026-08-10,2026-08-16,33,呼吸道合胞病毒,0.9,2.5
2026-08-10,2026-08-16,33,流感病毒,15.8,5.6
2026-08-10,2026-08-16,33,普通冠状病毒,0.1,0.1
2026-08-10,2026-08-16,33,人偏肺病毒,2.6,4.7
2026-08-10,2026-08-16,33,腺病毒,1.0,0.9
2026-08-10,2026-08-16,33,新型冠状病毒,21.2,9.1
