reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-04-06,2026-04-12,15,鼻病毒,8.8,7.8
2026-04-06,2026-04-12,15,博卡病毒,0.5,0.4
2026-04-06,2026-04-12,15,肠道病毒,1.2,0.5
2026-04-06,2026-04-12,15,肺炎支原体,0.3,0.8
2026-04-06,2026-04-12,15,副流感病毒,6.9,5.8
2026-04-06,2026-04-12,15,呼吸道合胞病毒,2.6,5.0
2026-04-06,2026-04-12,15,流感病毒,15.3,5.5
2026-04-06,2026-04-12,15,普通冠状病毒,2.7,2.2
2026-04-06,2026-04-12,15,人偏肺病毒,2.5,1.4
2026-04-06,2026-04-12,15,腺病毒,1.2,1.2
2026-04-06,2026-04-12,15,新型冠状病毒,1.8,0.3
