reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-06-01,2026-06-07,23,鼻病毒,11.1,7.1
2026-06-01,2026-06-07,23,博卡病毒,0.4,0.6
2026-06-01,2026-06-07,23,肠道病毒,6.4,3.1
2026-06-01,2026-06-07,23,肺炎支原体,0.3,1.2
2026-06-01,2026-06-07,23,副流感病毒,6.2,3.8
2026-06-01,2026-06-07,23,呼吸道合胞病毒,1.2,0.8
2026-06-01,2026-06-07,23,流感病毒,11.3,3.5
2026-06-01,2026-06-07,23,普通冠状病毒,1.2,0.7
2026-06-01,2026-06-07,23,人偏肺病毒,5.2,4.5
2026-06-01,2026-06-07,23,腺病毒,2.2,2.0
2026-06-01,2026-06-07,23,新型冠状病毒,3.6,1.4
