reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-11-17,2025-11-23,47,鼻病毒,8.0,8.0
2025-11-17,2025-11-23,47,博卡病毒,1.3,2.9
2025-11-17,2025-11-23,47,肠道病毒,3.1,2.0
2025-11-17,2025-11-23,47,肺炎支原体,0.6,1.6
2025-11-17,2025-11-23,47,副流感病毒,1.9,1.8
2025-11-17,2025-11-23,47,呼吸道合胞病毒,4.3,8.2
2025-11-17,2025-11-23,47,流感病毒,44.8,16.4
2025-11-17,2025-11-23,47,普通冠状病毒,0.8,1.5
2025-11-17,2025-11-23,47,人偏肺病毒,0.2,0.1
2025-11-17,2025-11-23,47,腺病毒,1.1,1.4
2025-11-17,2025-11-23,47,新型冠状病毒,0.6,1.1
