reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-04-21,2025-04-27,17,鼻病毒,9.9,11.2
2025-04-21,2025-04-27,17,博卡病毒,0.3,0.5
2025-04-21,2025-04-27,17,肠道病毒,1.9,1.3
2025-04-21,2025-04-27,17,肺炎支原体,0.3,1.4
2025-04-21,2025-04-27,17,副流感病毒,4.0,3.3
2025-04-21,2025-04-27,17,呼吸道合胞病毒,3.3,6.8
2025-04-21,2025-04-27,17,流感病毒,2.4,1.3
2025-04-21,2025-04-27,17,普通冠状病毒,1.8,1.2
2025-04-21,2025-04-27,17,人偏肺病毒,2.5,2.5
2025-04-21,2025-04-27,17,腺病毒,2.4,1.8
2025-04-21,2025-04-27,17,新型冠状病毒,13.4,5.5
