reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-08-04,2025-08-10,32,鼻病毒,4.5,3.5
2025-08-04,2025-08-10,32,博卡病毒,1.3,2.5
2025-08-04,2025-08-10,32,肠道病毒,5.1,2.0
2025-08-04,2025-08-10,32,肺炎支原体,0.4,1.7
2025-08-04,2025-08-10,32,副流感病毒,3.2,3.5
2025-08-04,2025-08-10,32,呼吸道合胞病毒,3.9,6.9
2025-08-04,2025-08-10,32,流感病毒,1.5,0.9
2025-08-04,2025-08-10,32,普通冠状病毒,4.4,1.7
2025-08-04,2025-08-10,32,人偏肺病毒,0.5,0.7
2025-08-04,2025-08-10,32,腺病毒,2.0,1.0
2025-08-04,2025-08-10,32,新型冠状病毒,10.8,4.4
