reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-07-20,2026-07-26,30,鼻病毒,4.5,3.6
2026-07-20,2026-07-26,30,博卡病毒,1.3,2.2
2026-07-20,2026-07-26,30,肠道病毒,5.9,2.8
2026-07-20,2026-07-26,30,肺炎支原体,0.4,1.5
2026-07-20,2026-07-26,30,副流感病毒,2.7,3.2
2026-07-20,2026-07-26,30,呼吸道合胞病毒,1.1,1.4
2026-07-20,2026-07-26,30,流感病毒,14.5,6.4
2026-07-20,2026-07-26,30,普通冠状病毒,0.6,0.5
2026-07-20,2026-07-26,30,人偏肺病毒,3.9,4.3
2026-07-20,2026-07-26,30,腺病毒,1.4,1.1
2026-07-20,2026-07-26,30,新型冠状病毒,20.3,9.5
