reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-07-06,2026-07-12,28,鼻病毒,6.6,6.8
2026-07-06,2026-07-12,28,博卡病毒,1.4,2.3
2026-07-06,2026-07-12,28,肠道病毒,8.9,3.8
2026-07-06,2026-07-12,28,肺炎支原体,0.2,1.7
2026-07-06,2026-07-12,28,副流感病毒,3.8,4.2
2026-07-06,2026-07-12,28,呼吸道合胞病毒,1.0,1.6
2026-07-06,2026-07-12,28,流感病毒,13.7,3.9
2026-07-06,2026-07-12,28,普通冠状病毒,0.9,1.0
2026-07-06,2026-07-12,28,人偏肺病毒,5.7,6.4
2026-07-06,2026-07-12,28,腺病毒,1.1,0.8
2026-07-06,2026-07-12,28,新型冠状病毒,11.9,6.9
