reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2024-12-02,2024-12-08,49,鼻病毒,7.5,8.2
2024-12-02,2024-12-08,49,博卡病毒,0.9,1.3
2024-12-02,2024-12-08,49,肠道病毒,2.6,2.3
2024-12-02,2024-12-08,49,肺炎支原体,5.6,10.3
2024-12-02,2024-12-08,49,副流感病毒,2.4,1.9
2024-12-02,2024-12-08,49,呼吸道合胞病毒,2.3,3.0
2024-12-02,2024-12-08,49,流感病毒,10.8,6.0
2024-12-02,2024-12-08,49,普通冠状病毒,1.6,1.5
2024-12-02,2024-12-08,49,人偏肺病毒,5.0,3.6
2024-12-02,2024-12-08,49,腺病毒,4.6,2.5
2024-12-02,2024-12-08,49,新型冠状病毒,2.1,1.6
