reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2024-11-18,2024-11-24,47,鼻病毒,9.4,8.4
2024-11-18,2024-11-24,47,博卡病毒,0.9,1.4
2024-11-18,2024-11-24,47,肠道病毒,3.8,2.8
2024-11-18,2024-11-24,47,肺炎支原体,5.4,11.6
2024-11-18,2024-11-24,47,副流感病毒,3.6,2.6
2024-11-18,2024-11-24,47,呼吸道合胞病毒,2.1,2.0
2024-11-18,2024-11-24,47,流感病毒,5.5,2.8
2024-11-18,2024-11-24,47,普通冠状病毒,2.1,1.5
2024-11-18,2024-11-24,47,人偏肺病毒,3.4,2.1
2024-11-18,2024-11-24,47,腺病毒,4.8,2.1
2024-11-18,2024-11-24,47,新型冠状病毒,1.8,1.7
