reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-08-11,2025-08-17,33,鼻病毒,4.0,3.5
2025-08-11,2025-08-17,33,博卡病毒,1.3,2.2
2025-08-11,2025-08-17,33,肠道病毒,3.2,1.2
2025-08-11,2025-08-17,33,肺炎支原体,0.6,1.7
2025-08-11,2025-08-17,33,副流感病毒,3.0,3.2
2025-08-11,2025-08-17,33,呼吸道合胞病毒,3.6,7.6
2025-08-11,2025-08-17,33,流感病毒,1.5,0.5
2025-08-11,2025-08-17,33,普通冠状病毒,6.7,3.0
2025-08-11,2025-08-17,33,人偏肺病毒,0.2,0.1
2025-08-11,2025-08-17,33,腺病毒,1.4,1.2
2025-08-11,2025-08-17,33,新型冠状病毒,11.9,5.6
