reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2026-04-01,2026-04-30,2026-04,2026-05-13,埃博拉出血热,重点监测,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,艾滋病,乙类,disease,4188,1479,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,百日咳,乙类,disease,760,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,包虫病,丙类,disease,382,1,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,丙类传染病合计,丙类,summary,830142,2,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,丙型肝炎,乙类,disease,16194,145,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,病毒性肝炎,乙类,group,135528,173,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,布鲁氏菌病,乙类,disease,6402,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,登革热,乙类,disease,137,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,丁型肝炎,乙类,disease,42,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,发热伴血小板减少综合征,乙类,disease,572,21,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,肺结核,乙类,disease,61668,188,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,风疹,丙类,disease,54,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
2026-04-01,2026-04-30,2026-04,2026-05-13,肝吸虫病,重点监测,disease,10761,0,https://www.chinacdc.cn/jksj/jksj01/202605/t20260514_1835765.html
