reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2026-02-01,2026-02-28,2026-02,2026-03-12,埃博拉出血热,重点监测,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,艾滋病,乙类,disease,2668,1165,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,百日咳,乙类,disease,666,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,包虫病,丙类,disease,264,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,丙类传染病合计,丙类,summary,616384,2,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,丙型肝炎,乙类,disease,10900,49,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,病毒性肝炎,乙类,group,111021,88,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,布鲁氏菌病,乙类,disease,3447,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,登革热,乙类,disease,94,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,丁型肝炎,乙类,disease,24,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,发热伴血小板减少综合征,重点监测,disease,1,1,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,肺结核,乙类,disease,44105,111,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,风疹,丙类,disease,32,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,肝吸虫病,重点监测,disease,6270,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,钩端螺旋体病,乙类,disease,2,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
2026-02-01,2026-02-28,2026-02,2026-03-12,黑热病,丙类,disease,28,0,https://www.chinacdc.cn/jksj/jksj01/202603/t20260312_315435.html
