reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2024-09-01,2024-09-30,2024-09,2024-10-22,艾滋病,乙类,disease,4450,1720,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,百日咳,乙类,disease,17316,2,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,包虫病,丙类,disease,407,2,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,丙类传染病合计,丙类,summary,286123,2,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,丙型肝炎,乙类,disease,16896,303,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,病毒性肝炎,乙类,group,146669,332,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,布鲁氏菌病,乙类,disease,4612,1,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,登革热,乙类,disease,4845,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,丁型肝炎,乙类,disease,7,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,肺结核,乙类,disease,55609,247,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,风疹,丙类,disease,39,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,钩端螺旋体病,乙类,disease,128,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,黑热病,丙类,disease,33,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,猴痘,乙类,disease,46,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,霍乱,甲类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,急性出血性结膜炎,丙类,disease,2156,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,甲型肝炎,乙类,disease,1084,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,甲乙丙类总计,甲乙丙类,summary,589950,2321,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,甲乙类传染病合计,甲乙类,summary,303827,2319,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,狂犬病,乙类,disease,17,12,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,淋病,乙类,disease,8923,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性出血热,乙类,disease,192,1,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性感冒,丙类,disease,117403,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性和地方性斑疹伤寒,丙类,disease,188,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性脑脊髓膜炎,乙类,disease,5,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性腮腺炎,丙类,disease,9657,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,流行性乙型脑炎,乙类,disease,71,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
2024-09-01,2024-09-30,2024-09,2024-10-22,麻风病,丙类,disease,10,0,https://www.chinacdc.cn/jksj/jksj01/202410/t20241022_301872.html
