reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2025-04-01,2025-04-30,2025-04,2025-05-22,艾滋病,乙类,disease,4534,1642,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,百日咳,乙类,disease,4506,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,包虫病,丙类,disease,441,1,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,丙类传染病合计,丙类,summary,409387,1,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,丙型肝炎,乙类,disease,17894,176,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,病毒性肝炎,乙类,group,137442,212,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,布鲁氏菌病,乙类,disease,6487,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,登革热,乙类,disease,74,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,丁型肝炎,乙类,disease,16,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,肺结核,乙类,disease,59246,252,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,风疹,丙类,disease,75,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,钩端螺旋体病,乙类,disease,7,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,黑热病,丙类,disease,34,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,猴痘,乙类,disease,86,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,霍乱,甲类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,急性出血性结膜炎,丙类,disease,2262,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,甲型肝炎,乙类,disease,1596,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,甲乙丙类传染病总计,甲乙丙类,summary,866477,2139,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,甲乙类传染病合计,甲乙类,summary,457090,2138,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,狂犬病,乙类,disease,13,11,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,淋病,乙类,disease,8975,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性出血热,乙类,disease,244,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性感冒,丙类,disease,143986,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性和地方性斑疹伤寒,丙类,disease,89,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性脑脊髓膜炎,乙类,disease,24,2,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性腮腺炎,丙类,disease,8641,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,流行性乙型脑炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,麻风病,丙类,disease,38,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,麻疹,乙类,disease,234,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,梅毒,乙类,disease,57441,8,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,疟疾,乙类,disease,257,2,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,其他感染性腹泻病,丙类,disease,227604,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,人感染高致病性禽流感,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,人感染H7N9禽流感,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,伤寒和副伤寒,乙类,disease,293,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,手足口病,丙类,disease,26217,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,鼠疫,甲类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,丝虫病,丙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,炭疽,乙类,disease,18,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,未分型肝炎,乙类,disease,623,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,戊型肝炎,乙类,disease,3339,2,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,细菌性和阿米巴性痢疾,乙类,disease,2235,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,新生儿破伤风,乙类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,新型冠状病毒感染,乙类,disease,168507,9,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,猩红热,乙类,disease,6465,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,血吸虫病,乙类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
2025-04-01,2025-04-30,2025-04,2025-05-22,乙型肝炎,乙类,disease,113974,34,https://www.chinacdc.cn/jksj/jksj01/202505/t20250523_307013.html
