reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2024-08-01,2024-08-31,2024-08,2024-09-13,艾滋病,乙类,disease,4485,1612,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,百日咳,乙类,disease,43216,1,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,包虫病,丙类,disease,335,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,丙类传染病合计,丙类,summary,366004,1,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,丙型肝炎,乙类,disease,19424,395,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,病毒性肝炎,乙类,group,163748,438,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,布鲁氏菌病,乙类,disease,6564,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,登革热,乙类,disease,1801,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,丁型肝炎,乙类,disease,24,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,肺结核,乙类,disease,57944,289,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,风疹,丙类,disease,70,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,钩端螺旋体病,乙类,disease,91,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,黑热病,丙类,disease,34,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,猴痘,乙类,disease,48,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,霍乱,甲类,disease,4,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,急性出血性结膜炎,丙类,disease,2179,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,甲型肝炎,乙类,disease,1136,0,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
2024-08-01,2024-08-31,2024-08,2024-09-13,甲乙丙类总计,甲乙丙类,summary,719686,2366,https://www.chinacdc.cn/jksj/jksj01/202409/t20240919_300082.html
