reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2025-11-01,2025-11-30,2025-11,2025-12-05,艾滋病,乙类,disease,3816,1590,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,百日咳,乙类,disease,1246,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,包虫病,丙类,disease,315,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,丙类传染病合计,丙类,summary,5142613,6,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,丙型肝炎,乙类,disease,13572,256,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,病毒性肝炎,乙类,group,119225,299,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,布鲁氏菌病,乙类,disease,3149,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,登革热,乙类,disease,849,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,丁型肝炎,乙类,disease,30,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,肺结核,乙类,disease,48885,234,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,风疹,丙类,disease,48,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,钩端螺旋体病,乙类,disease,38,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,黑热病,丙类,disease,32,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,猴痘,乙类,disease,65,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,霍乱,甲类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,急性出血性结膜炎,丙类,disease,1765,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,甲型肝炎,乙类,disease,1062,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,甲乙丙类传染病总计,甲乙丙类,summary,5399589,2160,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,甲乙类传染病合计,甲乙类,summary,256976,2154,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,狂犬病,乙类,disease,25,18,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,淋病,乙类,disease,9639,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性出血热,乙类,disease,540,5,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性感冒,丙类,disease,4778856,4,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性和地方性斑疹伤寒,丙类,disease,154,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性脑脊髓膜炎,乙类,disease,15,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性腮腺炎,丙类,disease,6700,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,流行性乙型脑炎,乙类,disease,5,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,麻风病,丙类,disease,12,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,麻疹,乙类,disease,75,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,梅毒,乙类,disease,50385,5,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,疟疾,乙类,disease,312,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,其他感染性腹泻病,丙类,disease,85394,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,人感染新亚型流感,乙类,disease,4,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,伤寒和副伤寒,乙类,disease,390,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,手足口病,丙类,disease,269337,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,鼠疫,甲类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,丝虫病,丙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,炭疽,乙类,disease,30,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,未分型肝炎,乙类,disease,559,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,戊型肝炎,乙类,disease,2287,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,细菌性和阿米巴性痢疾,乙类,disease,1683,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,新生儿破伤风,乙类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,新型冠状病毒感染,乙类,disease,13959,1,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,猩红热,乙类,disease,2638,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,血吸虫病,乙类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
2025-11-01,2025-11-30,2025-11,2025-12-05,乙型肝炎,乙类,disease,101715,42,https://www.chinacdc.cn/jksj/jksj01/202512/t20251205_314013.html
