reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2026-06-01,2026-06-30,2026-06,2026-07-08,埃博拉出血热,重点监测,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,艾滋病,乙类,disease,4578,1583,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,白喉,乙类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,百日咳,乙类,disease,639,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,包虫病,丙类,disease,503,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,丙类传染病合计,丙类,summary,1010999,1,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,丙型肝炎,乙类,disease,14816,224,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,病毒性肝炎,乙类,group,136295,253,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,布鲁氏菌病,乙类,disease,7315,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,登革热,乙类,disease,255,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,丁型肝炎,乙类,disease,29,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,发热伴血小板减少综合征,乙类,disease,1220,66,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,肺结核,乙类,disease,56491,183,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,风疹,丙类,disease,46,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,肝吸虫病,重点监测,disease,11573,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,钩端螺旋体病,乙类,disease,55,1,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,黑热病,丙类,disease,42,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,猴痘,乙类,disease,126,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
2026-06-01,2026-06-30,2026-06,2026-07-08,霍乱,甲类,disease,1,0,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html
