reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2026-03-01,2026-03-31,2026-03,2026-04-10,埃博拉出血热,重点监测,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,艾滋病,乙类,disease,4821,1644,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,百日咳,乙类,disease,636,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,包虫病,丙类,disease,411,2,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,丙类传染病合计,丙类,summary,740681,4,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,丙型肝炎,乙类,disease,16305,107,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,病毒性肝炎,乙类,group,145066,136,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,布鲁氏菌病,乙类,disease,5448,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,登革热,乙类,disease,92,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,丁型肝炎,乙类,disease,28,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,发热伴血小板减少综合征,重点监测,disease,38,3,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,肺结核,乙类,disease,63201,188,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,风疹,丙类,disease,36,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,肝吸虫病,重点监测,disease,10656,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,钩端螺旋体病,乙类,disease,8,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,黑热病,丙类,disease,28,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
2026-03-01,2026-03-31,2026-03,2026-04-10,猴痘,乙类,disease,28,0,https://www.chinacdc.cn/jksj/jksj01/202604/t20260410_1834909.html
