reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2024-04-01,2024-04-30,2024-04,2024-05-31,艾滋病,乙类,disease,5357,1718,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,百日咳,乙类,disease,91272,7,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,包虫病,丙类,disease,485,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,丙类传染病合计,丙类,summary,700044,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,丙型肝炎,乙类,disease,21905,209,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,病毒性肝炎,乙类,group,168275,231,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,布鲁氏菌病,乙类,disease,7141,1,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,登革热,乙类,disease,58,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,丁型肝炎,乙类,disease,17,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,肺结核,乙类,disease,68732,319,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,风疹,丙类,disease,68,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,钩端螺旋体病,乙类,disease,7,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
2024-04-01,2024-04-30,2024-04,2024-05-31,黑热病,丙类,disease,33,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240731_287616.html
