reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2025-07-01,2025-07-31,2025-07,2025-08-06,艾滋病,乙类,disease,4134,1464,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,百日咳,乙类,disease,2974,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,包虫病,丙类,disease,412,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,丙类传染病合计,丙类,summary,432295,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,丙型肝炎,乙类,disease,17538,243,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,病毒性肝炎,乙类,group,136194,283,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,布鲁氏菌病,乙类,disease,7301,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,登革热,乙类,disease,694,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,丁型肝炎,乙类,disease,20,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,肺结核,乙类,disease,57585,282,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,风疹,丙类,disease,65,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,钩端螺旋体病,乙类,disease,68,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,黑热病,丙类,disease,31,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,猴痘,乙类,disease,135,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,霍乱,甲类,disease,3,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,急性出血性结膜炎,丙类,disease,2639,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,甲型肝炎,乙类,disease,1635,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,甲乙丙类传染病总计,甲乙丙类,summary,946063,2060,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,甲乙类传染病合计,甲乙类,summary,513768,2059,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,狂犬病,乙类,disease,27,21,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,淋病,乙类,disease,10992,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性出血热,乙类,disease,205,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性感冒,丙类,disease,78790,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性和地方性斑疹伤寒,丙类,disease,164,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性脑脊髓膜炎,乙类,disease,12,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性腮腺炎,丙类,disease,6907,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,流行性乙型脑炎,乙类,disease,3,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,麻风病,丙类,disease,27,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,麻疹,乙类,disease,135,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,梅毒,乙类,disease,57384,3,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,疟疾,乙类,disease,424,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,其他感染性腹泻病,丙类,disease,148551,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,人感染高致病性禽流感,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,人感染H7N9禽流感,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,伤寒和副伤寒,乙类,disease,672,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,手足口病,丙类,disease,194709,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,鼠疫,甲类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,丝虫病,丙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,炭疽,乙类,disease,87,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,未分型肝炎,乙类,disease,586,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,戊型肝炎,乙类,disease,2837,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,细菌性和阿米巴性痢疾,乙类,disease,3899,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,新生儿破伤风,乙类,disease,3,1,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,新型冠状病毒感染,乙类,disease,226567,2,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,猩红热,乙类,disease,4268,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,血吸虫病,乙类,disease,2,0,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
2025-07-01,2025-07-31,2025-07,2025-08-06,乙型肝炎,乙类,disease,113578,39,https://www.chinacdc.cn/jksj/jksj01/202508/t20250806_309203.html
