reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2025-08-01,2025-08-31,2025-08,2025-09-05,艾滋病,乙类,disease,3754,1402,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,百日咳,乙类,disease,1774,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,包虫病,丙类,disease,370,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,丙类传染病合计,丙类,summary,342026,2,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,丙型肝炎,乙类,disease,16138,189,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,病毒性肝炎,乙类,group,130104,227,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,布鲁氏菌病,乙类,disease,6137,1,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,登革热,乙类,disease,1702,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,丁型肝炎,乙类,disease,13,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,肺结核,乙类,disease,54614,246,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,风疹,丙类,disease,51,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,钩端螺旋体病,乙类,disease,156,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,黑热病,丙类,disease,33,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,猴痘,乙类,disease,81,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,霍乱,甲类,disease,5,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,急性出血性结膜炎,丙类,disease,2044,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,甲型肝炎,乙类,disease,1311,0,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,甲乙丙类传染病总计,甲乙丙类,summary,776879,1921,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
2025-08-01,2025-08-31,2025-08,2025-09-05,甲乙类传染病合计,甲乙类,summary,434853,1919,https://www.chinacdc.cn/jksj/jksj01/202509/t20250905_310265.html
